team,player,avg_x_passed,avg_y_passed,avg_x_recieved,avg_y_recieved,total_passes
Arsenal,Ashley Cole,39.92162162162162,11.445945945945946,48.832432432432434,17.475675675675678,37
Arsenal,Fredrik Ljungberg,76.29743589743589,57.917948717948725,77.86923076923077,53.98205128205129,39
Arsenal,Gilberto Aparecido da Silva,55.71836734693877,46.31020408163265,64.98775510204082,41.204081632653065,49
Arsenal,Jens Lehmann,10.384615384615385,39.276923076923076,68.16153846153847,31.85641025641026,39
Arsenal,Kolo Habib Touré,33.044444444444444,48.7,34.95,45.36666666666667,18
Arsenal,Laureano Bisan-Etame Mayer,60.80384615384616,70.38076923076923,64.85961538461538,61.7,52
Arsenal,Martin Keown,36.07647058823529,62.705882352941174,51.92352941176471,65.52941176470588,17
Arsenal,Patrick Vieira,57.483870967741936,35.938709677419354,64.88064516129032,40.04032258064516,62
Arsenal,Ray Parlour,75.37333333333335,71.30666666666666,85.20666666666666,65.44666666666667,15
Arsenal,Robert Pirès,64.28205128205128,19.174358974358974,68.32564102564102,24.515384615384615,39
Arsenal,Sulzeer Jeremiah ''Sol' Campbell,37.03333333333333,23.444444444444443,48.77777777777778,22.655555555555555,9
Arsenal,Sylvain Wiltord,75.12352941176471,40.42941176470588,76.3,46.16470588235294,17
Arsenal,Thierry Henry,85.65172413793104,28.74137931034483,85.59655172413794,39.6448275862069,29
Everton,Alan Stubbs,41.786206896551725,31.272413793103446,60.186206896551724,36.706896551724135,29
Everton,Alessandro Pistone,63.945454545454545,69.33272727272728,77.39272727272729,58.71272727272728,55
Everton,David Unsworth,61.6051282051282,9.528205128205128,81.07435897435897,26.55128205128205,39
Everton,Gary Naysmith,64.9875,19.11875,71.85,27.13125,16
Everton,Joseph Phillip Yobo,46.378571428571426,47.964285714285715,65.09285714285714,43.23571428571428,28
Everton,Mark Pembridge,84.5611111111111,27.905555555555555,87.14444444444445,23.655555555555555,18
Everton,Nick Chadwick,85.23157894736842,38.08947368421053,85.39999999999999,41.52105263157895,19
Everton,Richard Wright,11.808695652173913,42.58695652173913,63.77391304347826,44.80869565217391,23
Everton,Steve Watson,82.45384615384616,59.26923076923077,85.58846153846154,48.49615384615385,26
Everton,Thomas Gravesen,62.58793103448276,39.95344827586207,81.24827586206897,42.820689655172416,58
Everton,Tie Li,60.13333333333333,34.46666666666667,65.3,17.166666666666668,3
Everton,Tobias Linderoth,65.46428571428571,49.625,68.22142857142858,42.082142857142856,28
Everton,Tomasz Radziński,81.12333333333332,38.440000000000005,75.48,38.07333333333334,30
Everton,Wayne Mark Rooney,101.28888888888889,37.81111111111111,102.34444444444445,41.333333333333336,9
