team,passer,recipient,pass_count
Arsenal,Kolo Habib Touré,Ashley Cole,1
Arsenal,Fredrik Ljungberg,Ashley Cole,1
Everton,Thomas Gravesen,Nick Chadwick,12
Everton,Thomas Gravesen,Tomasz Radziński,10
Everton,Thomas Gravesen,Alessandro Pistone,10
Everton,Alessandro Pistone,Nick Chadwick,9
Everton,Alessandro Pistone,Steve Watson,9
Everton,Tomasz Radziński,Thomas Gravesen,9
Everton,Thomas Gravesen,David Unsworth,9
Everton,Joseph Phillip Yobo,Thomas Gravesen,8
Everton,David Unsworth,Thomas Gravesen,7
Everton,David Unsworth,Nick Chadwick,7
Everton,Alessandro Pistone,Tobias Linderoth,7
Everton,David Unsworth,Alan Stubbs,6
Everton,Nick Chadwick,Tomasz Radziński,6
Everton,Alessandro Pistone,Thomas Gravesen,6
Everton,Mark Pembridge,Thomas Gravesen,5
Everton,Tobias Linderoth,David Unsworth,5
Everton,Steve Watson,Alessandro Pistone,5
Everton,Richard Wright,Steve Watson,5
Everton,Alan Stubbs,Nick Chadwick,4
Everton,Steve Watson,Thomas Gravesen,4
Everton,Thomas Gravesen,Steve Watson,4
Everton,Mark Pembridge,David Unsworth,4
Everton,Tobias Linderoth,Alessandro Pistone,4
Everton,Alan Stubbs,Thomas Gravesen,4
Everton,Alessandro Pistone,Tomasz Radziński,4
Everton,Joseph Phillip Yobo,Alessandro Pistone,4
Everton,Tomasz Radziński,Nick Chadwick,4
Everton,Alan Stubbs,David Unsworth,4
Everton,Steve Watson,Tomasz Radziński,4
Everton,Mark Pembridge,Nick Chadwick,4
Everton,Richard Wright,Mark Pembridge,3
Everton,Richard Wright,David Unsworth,3
Everton,Tobias Linderoth,Alan Stubbs,3
Everton,Alan Stubbs,Steve Watson,3
Everton,Steve Watson,Nick Chadwick,3
Everton,Tomasz Radziński,Tobias Linderoth,3
Everton,Tomasz Radziński,Steve Watson,3
Everton,Tobias Linderoth,Tomasz Radziński,3
Everton,Alessandro Pistone,Richard Wright,3
Everton,Alan Stubbs,Joseph Phillip Yobo,3
Everton,David Unsworth,Mark Pembridge,3
Everton,Tomasz Radziński,Alessandro Pistone,3
Everton,Richard Wright,Tobias Linderoth,3
Everton,Thomas Gravesen,Joseph Phillip Yobo,3
Everton,Wayne Mark Rooney,Steve Watson,3
Everton,Gary Naysmith,Thomas Gravesen,3
Everton,Joseph Phillip Yobo,Gary Naysmith,3
Everton,Mark Pembridge,Tomasz Radziński,2
Everton,David Unsworth,Tomasz Radziński,2
Everton,Thomas Gravesen,Tobias Linderoth,2
Everton,Tobias Linderoth,Steve Watson,2
Everton,Alan Stubbs,Tomasz Radziński,2
Everton,Steve Watson,Tobias Linderoth,2
Everton,Richard Wright,Thomas Gravesen,2
Everton,Tobias Linderoth,Nick Chadwick,2
Everton,Alan Stubbs,Alessandro Pistone,2
Everton,David Unsworth,Steve Watson,2
Everton,Tobias Linderoth,Joseph Phillip Yobo,2
Everton,Joseph Phillip Yobo,David Unsworth,2
Everton,Nick Chadwick,Alessandro Pistone,2
Everton,Thomas Gravesen,Richard Wright,2
Everton,Joseph Phillip Yobo,Steve Watson,2
Everton,Tomasz Radziński,David Unsworth,2
Everton,Richard Wright,Tomasz Radziński,2
Everton,David Unsworth,Wayne Mark Rooney,2
Everton,Tomasz Radziński,Wayne Mark Rooney,2
Everton,Richard Wright,Alan Stubbs,2
Everton,Thomas Gravesen,Gary Naysmith,2
Everton,Gary Naysmith,Tomasz Radziński,2
Everton,Alan Stubbs,Tie Li,2
Everton,Tomasz Radziński,Gary Naysmith,2
Everton,Gary Naysmith,Joseph Phillip Yobo,2
Everton,Joseph Phillip Yobo,Wayne Mark Rooney,2
Everton,Alessandro Pistone,Gary Naysmith,2
Everton,Gary Naysmith,Alessandro Pistone,2
Everton,Richard Wright,Nick Chadwick,1
Everton,Alan Stubbs,Mark Pembridge,1
Everton,Tomasz Radziński,Mark Pembridge,1
Everton,Joseph Phillip Yobo,Tomasz Radziński,1
Everton,Joseph Phillip Yobo,Tobias Linderoth,1
Everton,Nick Chadwick,Tobias Linderoth,1
Everton,Tobias Linderoth,Mark Pembridge,1
Everton,Alessandro Pistone,Alan Stubbs,1
Everton,Tobias Linderoth,Thomas Gravesen,1
Everton,Nick Chadwick,Mark Pembridge,1
Everton,Nick Chadwick,Thomas Gravesen,1
Everton,Thomas Gravesen,Mark Pembridge,1
Everton,Mark Pembridge,Alessandro Pistone,1
Everton,David Unsworth,Alessandro Pistone,1
Everton,Wayne Mark Rooney,David Unsworth,1
Everton,Steve Watson,Joseph Phillip Yobo,1
Everton,Thomas Gravesen,Wayne Mark Rooney,1
Everton,Alessandro Pistone,Tie Li,1
Everton,Wayne Mark Rooney,Thomas Gravesen,1
Everton,Tie Li,Gary Naysmith,1
Everton,Gary Naysmith,Nick Chadwick,1
Everton,Nick Chadwick,Alan Stubbs,1
Everton,Gary Naysmith,Alan Stubbs,1
Everton,Gary Naysmith,Steve Watson,1
Everton,Wayne Mark Rooney,Tomasz Radziński,1
Everton,Wayne Mark Rooney,Joseph Phillip Yobo,1
Everton,Tie Li,Joseph Phillip Yobo,1
Everton,Alan Stubbs,Richard Wright,1
Everton,Alan Stubbs,Wayne Mark Rooney,1
Everton,Steve Watson,Tie Li,1
Everton,Nick Chadwick,Steve Watson,1
Everton,Wayne Mark Rooney,Alessandro Pistone,1
Everton,Alessandro Pistone,Joseph Phillip Yobo,1
Everton,Steve Watson,Wayne Mark Rooney,1
Everton,Joseph Phillip Yobo,Alan Stubbs,1
Everton,Nick Chadwick,Wayne Mark Rooney,1
