team,goals,xg,shots,shots_on_target,shots_off_target,shots_blocked,passes,dribbles,carries,pressures,fouls_committed
Arsenal,2,2.121151807,14,4,6,3,422,29,342,117,11
Everton,1,1.267483312,15,5,5,5,381,7,235,271,19
