team,goals,total_shots,shots_on_target,Shot_accuracy,goals_per_shot,goals_per_shot_on_target
Arsenal,2,14,4,28.571428571428573,0.14285714285714285,0.5
Everton,1,15,5,33.333333333333336,0.06666666666666667,0.2
